Local_ID,Grade_Level,Raw_Eth_Race,Num_Eth_Race,Eth_W,Eth_H,Eth_B,Eth_O,Economic_Disadvantage,English_Learner,Special_Ed,Gifted_Talented,Number_Discipline_Incidents,YN_Discipline,Num_Gender,Num_Campus_Name,CheetoMS1,PizzaMS2,TunaMS3,MustardMS4,WatermelonMS5,Math_Avg,ELA_Avg,Math_Pass,ELA_Pass
1942,7,W,1,1,0,0,0,0,0,0,0,0,0,1,4,0,0,0,1,0,88.5,87,1,1
1943,7,H,2,0,1,0,0,0,0,0,1,0,0,1,3,0,0,1,0,0,93.5,84.5,1,1
1944,7,W,1,1,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,89.5,80.5,1,1
1945,7,A,4,0,0,0,1,0,0,0,0,0,0,0,3,0,0,1,0,0,79.5,89,1,1
1946,7,W,1,1,0,0,0,0,0,0,1,0,0,1,2,0,1,0,0,0,94,90.5,1,1
1947,7,B,3,0,0,1,0,0,0,0,0,0,0,1,2,0,1,0,0,0,82.5,85,1,1
1948,7,W,1,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,73.5,75,1,1
1949,8,W,1,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,79.5,82,1,1
1950,7,W,1,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,90.5,87.5,1,1
1951,7,W,1,1,0,0,0,0,0,1,0,0,0,1,2,0,1,0,0,0,87.5,74.5,1,1
1952,7,H,2,0,1,0,0,1,0,0,0,0,0,1,3,0,0,1,0,0,76,88.5,1,1
1953,8,A,4,0,0,0,1,0,0,0,0,0,0,1,3,0,0,1,0,0,72,74,1,1
1954,8,W,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,83,78,1,1
1955,6,W,1,1,0,0,0,0,0,0,1,0,0,0,4,0,0,0,1,0,99,94.5,1,1
1956,8,W,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,73.5,86.5,1,1
1957,6,H,2,0,1,0,0,1,0,0,0,0,0,0,4,0,0,0,1,0,83.5,84,1,1
1958,6,H,2,0,1,0,0,1,0,1,0,0,0,1,2,0,1,0,0,0,82.5,87.5,1,1
1959,6,W,1,1,0,0,0,1,0,0,0,0,0,1,4,0,0,0,1,0,70,87.5,1,1
1960,6,H,2,0,1,0,0,1,1,0,0,0,0,0,4,0,0,0,1,0,66.5,76,0,1
1961,6,W,1,1,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,69.5,77.5,0,1
1962,8,W,1,1,0,0,0,0,0,0,1,0,0,0,3,0,0,1,0,0,83,85.5,1,1
1963,8,B,3,0,0,1,0,1,0,1,0,0,0,1,1,1,0,0,0,0,79,81.5,1,1
1964,7,I,6,0,0,0,1,1,0,0,0,0,0,1,4,0,0,0,1,0,87,73.5,1,1
1965,7,T,5,0,0,0,1,0,0,1,0,0,0,0,4,0,0,0,1,0,82.5,73,1,1
1966,7,H,2,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,78,79.5,1,1
1967,7,W,1,1,0,0,0,0,0,0,1,0,0,1,2,0,1,0,0,0,88,86.5,1,1
1968,7,H,2,0,1,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,82,81.5,1,1
1969,7,W,1,1,0,0,0,0,0,0,1,0,0,1,5,0,0,0,0,1,97.5,92.5,1,1
1970,7,W,1,1,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,1,81,82.5,1,1
1971,6,H,2,0,1,0,0,1,0,0,0,0,0,1,4,0,0,0,1,0,67.5,82,0,1
1972,7,W,1,1,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,82.5,80.5,1,1
1973,6,W,1,1,0,0,0,1,0,0,0,0,0,0,4,0,0,0,1,0,79.5,78,1,1
1974,6,H,2,0,1,0,0,1,0,0,0,0,0,0,4,0,0,0,1,0,80,85,1,1
1975,7,H,2,0,1,0,0,0,0,1,0,0,0,0,4,0,0,0,1,0,73.5,80.5,1,1
