"","Grade_Level","Raw_Eth_Race","Num_Eth_Race","Eth_W","Eth_H","Eth_B","Eth_O","Economic_Disadvantage","English_Learner","Special_Ed","Gifted_Talented","Number_Discipline_Incidents","YN_Discipline","Num_Gender","Num_Campus_Name","CheetoMS1","PizzaMS2","TunaMS3","MustardMS4","WatermelonMS5","ELA_Avg","Math_Pass","ELA_Pass"
"4071",8,"W",1,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,86.5,1,1
"424",7,"I",6,0,0,0,1,0,0,0,0,1,1,0,4,0,0,0,1,0,64.5,0,0
"3639",6,"W",1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,77.5,1,1
"317",6,"W",1,1,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,77,1,1
"5029",6,"W",1,1,0,0,0,1,0,0,0,0,0,1,2,0,1,0,0,0,88.5,1,1
"511",8,"W",1,1,0,0,0,1,0,0,0,1,1,1,3,0,0,1,0,0,92,1,1
"1976",7,"W",1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,87,1,1
"4735",8,"B",3,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,89.5,1,1
"801",8,"B",3,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,1,74,1,1
"2442",6,"T",5,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,84.5,1,1
"979",8,"W",1,1,0,0,0,0,0,0,1,0,0,1,3,0,0,1,0,0,93.5,1,1
"970",7,"H",2,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,85,1,1
"865",8,"A",4,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,82.5,1,1
"1329",8,"W",1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,92.5,1,1
"634",8,"A",4,0,0,0,1,0,0,0,1,0,0,0,4,0,0,0,1,0,92,1,1
